Name,ARGENTINE REPUBLIC SNR CR14 10Y $ - CDS PREM. MID,BQ CENTE DE TUNISIE SNR CR14 10Y E - CDS PREM. MID,BOLIVARIAN REP VENA SNR CR14 10Y $ - CDS PREM. MID,CZECH REPUBLIC SNR CR14 10Y E - CDS PREM. MID,DOMINICAN REPUBLIC SNR CR14 10Y $ - CDS PREM. MID,FEDERAL REP GERMANY SNR CR 10Y E - CDS PREM. MID,"BRAZIL, REPUBLIC OF SNR CR14 10Y E - CDS PREM. MID",FRANCE (GOVERNMENT) SNR CR 10Y E - CDS PREM. MID,HELLENIC REPUBLIC SNR CR 10Y E - CDS PREM. MID,HK SPECIAL ADM REGN SNR CR14 10Y $ - CDS PREM. MID,IRELAND SNR CR 10Y E - CDS PREM. MID,JAMAICA SNR CR14 10Y $ - CDS PREM. MID,JAPAN SNR CR 10Y Y - CDS PREM. MID,KINGDOM OF BAHRAIN SNR CR14 10Y $ - CDS PREM. MID,KINGDOM OF BELGIUM SNR CR 10Y E - CDS PREM. MID,KINGDOM OF DENMARK SNR CR 10Y E - CDS PREM. MID,KINGDOM OF NORWAY SNR CR 10Y $ - CDS PREM. MID,KINGDOM OF SPAIN SNR CR 10Y E - CDS PREM. MID,KINGDOM OF SWEDEN SNR CR 10Y E - CDS PREM. MID,KINGDOM OF THAILAND SNR CR14 10Y $ - CDS PREM. MID,KINGDOM OF NETH. SNR CR 10Y $ - CDS PREM. MID,REPUBLIC OF LEBANON SNR CR14 10Y $ - CDS PREM. MID,MALAYSIA SNR CR14 10Y E - CDS PREM. MID,NEW ZEALAND GVT SNR MR 10Y $ - CDS PREM. MID,ORIENTAL REP URUGUAY SNR CR14 10Y $ - CDS PREM. MID,PEOPLES REP OF CHINA SNR CR14 10Y $ - CDS PREM. MID,REPUBLIC OF AUSTRIA SNR CR 10Y E - CDS PREM. MID,REPUBLIC OF BULGARIA SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF CHILE SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF COLOMBIA SNR CR14 10Y E - CDS PREM. MID,REP OF COSTA RICA SNR CR14 10Y $ - CDS PREM. MID,REPUBLIC OF CROATIA SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF CYPRUS SNR CR 10Y E - CDS PREM. MID,REP OF EL SALVADOR SNR CR14 10Y $ - CDS PREM. MID,REPUBLIC OF ESTONIA SNR CR14 10Y E - CDS PREM. MID,REP OF GUATEMALA SNR CR14 10Y $ - CDS PREM. MID,HUNGARY SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF ICELAND SNR CR 10Y E - CDS PREM. MID,REP OF INDONESIA SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF IRAQ SNR CR14 10Y $ - CDS PREM. MID,REPUBLIC OF ITALY SNR CR 10Y E - CDS PREM. MID,REP OF KAZAKHSTAN SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF LATVIA SNR CR14 10Y E - CDS PREM. MID,REP OF LITHUANIA SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF MALTA SNR CR14 10Y $ - CDS PREM. MID,REPUBLIC OF PANAMA SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF PERU SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF POLAND SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF PORTUGAL SNR CR 10Y E - CDS PREM. MID,REPUBLIC OF SERBIA SNR CR14 10Y $ - CDS PREM. MID,REP OF SINGAPORE SNR CR14 10Y $ - CDS PREM. MID,REPUBLIC OF SLOVENIA SNR CR14 10Y E - CDS PREM. MID,REP OF SOUTH AFRICA SNR CR14 10Y E - CDS PREM. MID,REP OF PHILIPINES SNR CR14 10Y E - CDS PREM. MID,REPUBLIC OF TURKEY SNR CR14 10Y E - CDS PREM. MID,ROMANIA SNR CR14 10Y E - CDS PREM. MID,GOVT OF RUSSIA SNR CR14 10Y E - CDS PREM. MID,SLOVAK REPUBLIC SNR CR14 10Y E - CDS PREM. MID,GOVT OF VIETNAM SNR CR14 10Y $ - CDS PREM. MID,STATE OF ISRAEL SNR CR14 10Y E - CDS PREM. MID,STATE OF QATAR SNR CR14 10Y E - CDS PREM. MID,UKRAINE SNR CR14 10Y SF - CDS PREM. MID,UK AND NI SNR CR 10Y E - CDS PREM. MID,UNITED MX STATES SNR CR14 10Y $ - CDS PREM. MID,REPUBLIC OF FINLAND SNR CR 10Y $ - CDS PREM. MID,REPUBLIC OF KOREA SNR CR14 10Y $ - CDS PREM. MID,KINGDOM OF MOROCCO SNR CR14 10Y $ - CDS PREM. MID,USA (GOVERNMENT) SNR CR 10Y E - CDS PREM. MID,COMMONWEALTH OF AU SNR MR 10Y $ - CDS PREM. MID
12/14/2007,NA,NA,NA,NA,300,NA,134.9,NA,25.5,NA,NA,NA,NA,NA,15.75,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,58,NA,NA,NA,24.5,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,55.5,90,NA,NA
12/17/2007,NA,NA,NA,NA,300,NA,139.9,NA,25.75,NA,NA,NA,NA,NA,15.5,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,60,NA,NA,NA,24.75,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,56.5,90,NA,NA
12/18/2007,557.3999,NA,NA,NA,300,NA,142.9,NA,26.5,NA,NA,NA,NA,NA,16,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,68,NA,NA,NA,25.75,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,57,90,NA,NA
12/19/2007,557.3999,NA,NA,NA,303,NA,140.9,NA,26.75,NA,NA,NA,NA,NA,16.25,NA,NA,24.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,26,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,56.5,90,NA,NA
12/20/2007,557.3999,NA,NA,NA,309.6494,NA,141.5386,NA,26.75,NA,NA,NA,NA,NA,16.25,NA,NA,24.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,26,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,56.5,90,NA,NA
12/21/2007,557.3999,NA,NA,NA,308,9.25,135.9,11.525,30,NA,NA,NA,NA,NA,19.75,NA,NA,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,29,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,57,90,NA,NA
12/24/2007,557.3999,NA,NA,NA,308,9.25,135.9,11.525,30,NA,NA,NA,NA,NA,19.75,NA,NA,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,29,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,57,90,NA,NA
12/25/2007,557.3999,NA,NA,NA,308,9.25,135.9,11.525,30,NA,NA,NA,NA,NA,19.75,NA,NA,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,29,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,57,90,NA,NA
12/26/2007,557.3999,NA,NA,NA,308,9.25,135.9,11.525,30,NA,NA,NA,NA,NA,19.75,NA,NA,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,29,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,57,90,NA,NA
12/27/2007,557.3999,NA,NA,NA,308,9.25,133.9,11.525,30,NA,NA,NA,NA,NA,19.75,NA,NA,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,29,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,56.5,90,NA,NA
12/28/2007,557.3999,NA,NA,NA,308,9.25,135.9,11.525,30,NA,NA,NA,NA,NA,19.75,NA,NA,26.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,68,NA,NA,NA,29,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,57.5,90,NA,NA
