Country,EU_dum
ARGENTINE REPUBLIC SNR CR14 10Y $ - CDS PREM. MID,0
BQ CENTE DE TUNISIE SNR CR14 10Y E - CDS PREM. MID,0
BOLIVARIAN REP VENA SNR CR14 10Y $ - CDS PREM. MID,0
CZECH REPUBLIC SNR CR14 10Y E - CDS PREM. MID,0
DOMINICAN REPUBLIC SNR CR14 10Y $ - CDS PREM. MID,0
FEDERAL REP GERMANY SNR CR 10Y E - CDS PREM. MID,1
"BRAZIL, REPUBLIC OF SNR CR14 10Y E - CDS PREM. MID",0
FRANCE (GOVERNMENT) SNR CR 10Y E - CDS PREM. MID,1
HELLENIC REPUBLIC SNR CR 10Y E - CDS PREM. MID,1
HK SPECIAL ADM REGN SNR CR14 10Y $ - CDS PREM. MID,0
IRELAND SNR CR 10Y E - CDS PREM. MID,1
JAMAICA SNR CR14 10Y $ - CDS PREM. MID,0
JAPAN SNR CR 10Y Y - CDS PREM. MID,0
KINGDOM OF BAHRAIN SNR CR14 10Y $ - CDS PREM. MID,0
KINGDOM OF BELGIUM SNR CR 10Y E - CDS PREM. MID,1
KINGDOM OF DENMARK SNR CR 10Y E - CDS PREM. MID,0
KINGDOM OF NORWAY SNR CR 10Y $ - CDS PREM. MID,0
KINGDOM OF SPAIN SNR CR 10Y E - CDS PREM. MID,1
KINGDOM OF SWEDEN SNR CR 10Y E - CDS PREM. MID,0
KINGDOM OF THAILAND SNR CR14 10Y $ - CDS PREM. MID,0
KINGDOM OF NETH. SNR CR 10Y $ - CDS PREM. MID,1
REPUBLIC OF LEBANON SNR CR14 10Y $ - CDS PREM. MID,0
MALAYSIA SNR CR14 10Y E - CDS PREM. MID,0
NEW ZEALAND GVT SNR MR 10Y $ - CDS PREM. MID,0
ORIENTAL REP URUGUAY SNR CR14 10Y $ - CDS PREM. MID,0
PEOPLES REP OF CHINA SNR CR14 10Y $ - CDS PREM. MID,0
REPUBLIC OF AUSTRIA SNR CR 10Y E - CDS PREM. MID,1
REPUBLIC OF BULGARIA SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF CHILE SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF COLOMBIA SNR CR14 10Y E - CDS PREM. MID,0
REP OF COSTA RICA SNR CR14 10Y $ - CDS PREM. MID,0
REPUBLIC OF CROATIA SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF CYPRUS SNR CR 10Y E - CDS PREM. MID,1
REP OF EL SALVADOR SNR CR14 10Y $ - CDS PREM. MID,0
REPUBLIC OF ESTONIA SNR CR14 10Y E - CDS PREM. MID,1
REP OF GUATEMALA SNR CR14 10Y $ - CDS PREM. MID,0
HUNGARY SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF ICELAND SNR CR 10Y E - CDS PREM. MID,0
REP OF INDONESIA SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF IRAQ SNR CR14 10Y $ - CDS PREM. MID,0
REPUBLIC OF ITALY SNR CR 10Y E - CDS PREM. MID,1
REP OF KAZAKHSTAN SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF LATVIA SNR CR14 10Y E - CDS PREM. MID,1
REP OF LITHUANIA SNR CR14 10Y E - CDS PREM. MID,1
REPUBLIC OF MALTA SNR CR14 10Y $ - CDS PREM. MID,1
REPUBLIC OF PANAMA SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF PERU SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF POLAND SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF PORTUGAL SNR CR 10Y E - CDS PREM. MID,1
REPUBLIC OF SERBIA SNR CR14 10Y $ - CDS PREM. MID,0
REP OF SINGAPORE SNR CR14 10Y $ - CDS PREM. MID,0
REPUBLIC OF SLOVENIA SNR CR14 10Y E - CDS PREM. MID,1
REP OF SOUTH AFRICA SNR CR14 10Y E - CDS PREM. MID,0
REP OF PHILIPINES SNR CR14 10Y E - CDS PREM. MID,0
REPUBLIC OF TURKEY SNR CR14 10Y E - CDS PREM. MID,0
ROMANIA SNR CR14 10Y E - CDS PREM. MID,0
GOVT OF RUSSIA SNR CR14 10Y E - CDS PREM. MID,0
SLOVAK REPUBLIC SNR CR14 10Y E - CDS PREM. MID,1
GOVT OF VIETNAM SNR CR14 10Y $ - CDS PREM. MID,0
STATE OF ISRAEL SNR CR14 10Y E - CDS PREM. MID,0
STATE OF QATAR SNR CR14 10Y E - CDS PREM. MID,0
UKRAINE SNR CR14 10Y SF - CDS PREM. MID,0
UK AND NI SNR CR 10Y E - CDS PREM. MID,0
UNITED MX STATES SNR CR14 10Y $ - CDS PREM. MID,0
REPUBLIC OF FINLAND SNR CR 10Y $ - CDS PREM. MID,1
REPUBLIC OF KOREA SNR CR14 10Y $ - CDS PREM. MID,0
KINGDOM OF MOROCCO SNR CR14 10Y $ - CDS PREM. MID,0
USA (GOVERNMENT) SNR CR 10Y E - CDS PREM. MID,0
COMMONWEALTH OF AU SNR MR 10Y $ - CDS PREM. MID,0
