Name,ARGENTINE REPUBLIC SNR CR1414 5Y $ - CDS PREM. MID,BQ CENTE DE TUNISIE SNR CR14 5Y E - CDS PREM. MID,BOLIVARIAN REP VENA SNR CR14 5Y $ - CDS PREM. MID,CZECH REPUBLIC SNR CR14 5Y E - CDS PREM. MID,DOMINICAN REPUBLIC SNR CR14 5Y $ - CDS PREM. MID,FEDERAL REP GERMANY SNR CR 5Y E - CDS PREM. MID,"BRAZIL, REPUBLIC OF SNR CR14 5Y E - CDS PREM. MID",FRANCE (GOVERNMENT) SNR CR 5Y E - CDS PREM. MID,HELLENIC REPUBLIC SNR CR 5Y E - CDS PREM. MID,HK SPECIAL ADM REGN SNR CR14 5Y $ - CDS PREM. MID,IRELAND SNR CR 5Y E - CDS PREM. MID,JAMAICA SNR CR14 5Y $ - CDS PREM. MID,JAPAN SNR CR 5Y Y - CDS PREM. MID,KINGDOM OF BAHRAIN SNR CR14 5Y $ - CDS PREM. MID,KINGDOM OF BELGIUM SNR CR 5Y E - CDS PREM. MID,KINGDOM OF DENMARK SNR CR 5Y E - CDS PREM. MID,KINGDOM OF NORWAY SNR CR 5Y $ - CDS PREM. MID,KINGDOM OF SPAIN SNR CR 5Y E - CDS PREM. MID,KINGDOM OF SWEDEN SNR CR 5Y E - CDS PREM. MID,KINGDOM OF THAILAND SNR CR14 5Y $ - CDS PREM. MID,KINGDOM OF NETH. SNR CR 5Y $ - CDS PREM. MID,REPUBLIC OF LEBANON SNR CR14 5Y $ - CDS PREM. MID,MALAYSIA SNR CR14 5Y E - CDS PREM. MID,NEW ZEALAND GVT SNR MR 5Y $ - CDS PREM. MID,ORIENTAL REP URUGUAY SNR CR14 5Y $ - CDS PREM. MID,PEOPLES REP OF CHINA SNR CR14 5Y $ - CDS PREM. MID,REPUBLIC OF AUSTRIA SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF BULGARIA SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF CHILE SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF COLOMBIA SNR CR14 5Y E - CDS PREM. MID,REP OF COSTA RICA SNR CR14 5Y $ - CDS PREM. MID,REPUBLIC OF CROATIA SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF CYPRUS SNR CR 5Y E - CDS PREM. MID,REP OF EL SALVADOR SNR CR14 5Y $ - CDS PREM. MID,REPUBLIC OF ESTONIA SNR CR14 5Y E - CDS PREM. MID,REP OF GUATEMALA SNR CR14 5Y $ - CDS PREM. MID,HUNGARY SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF ICELAND SNR CR 5Y E - CDS PREM. MID,REP OF INDONESIA SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF IRAQ SNR CR14 5Y $ - CDS PREM. MID,REPUBLIC OF ITALY SNR CR 5Y E - CDS PREM. MID,REP OF KAZAKHSTAN SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF LATVIA SNR CR14 5Y E - CDS PREM. MID,REP OF LITHUANIA SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF MALTA SNR CR14 5Y $ - CDS PREM. MID,REPUBLIC OF PANAMA SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF PERU SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF POLAND SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF PORTUGAL SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF SERBIA SNR CR14 5Y $ - CDS PREM. MID,REP OF SINGAPORE SNR CR14 5Y $ - CDS PREM. MID,REPUBLIC OF SLOVENIA SNR CR14 5Y E - CDS PREM. MID,REP OF SOUTH AFRICA SNR CR14 5Y E - CDS PREM. MID,REP OF PHILIPINES SNR CR14 5Y E - CDS PREM. MID,REPUBLIC OF TURKEY SNR CR14 5Y E - CDS PREM. MID,ROMANIA SNR CR14 5Y E - CDS PREM. MID,GOVT OF RUSSIA SNR CR14 5Y E - CDS PREM. MID,SLOVAK REPUBLIC SNR CR14 5Y E - CDS PREM. MID,GOVT OF VIETNAM SNR CR14 5Y $ - CDS PREM. MID,STATE OF ISRAEL SNR CR14 5Y E - CDS PREM. MID,STATE OF QATAR SNR CR14 5Y E - CDS PREM. MID,UKRAINE SNR CR14 5Y SF - CDS PREM. MID,UK AND NI SNR CR 5Y E - CDS PREM. MID,UNITED MX STATES SNR CR14 5Y $ - CDS PREM. MID,REPUBLIC OF FINLAND SNR CR 5Y $ - CDS PREM. MID,REPUBLIC OF KOREA SNR CR14 5Y $ - CDS PREM. MID,KINGDOM OF MOROCCO SNR CR14 5Y $ - CDS PREM. MID,USA (GOVERNMENT) SNR CR 5Y E - CDS PREM. MID,COMMONWEALTH OF AU SNR MR 5Y $ - CDS PREM. MID
12/14/07,NA,NA,NA,NA,234,NA,100.3,NA,16.89999,NA,NA,NA,NA,NA,11.5,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,45,NA,NA,NA,16.375,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,85.64999,NA,NA,NA,33,NA,NA,NA,NA,44.5,70,NA,NA
12/17/07,NA,NA,NA,NA,234,NA,105.3,NA,17.14999,NA,NA,NA,NA,NA,11.25,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,48,NA,NA,NA,16.625,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,87.98,NA,NA,NA,34,NA,NA,NA,NA,45.5,70,NA,NA
12/18/07,462.3999,NA,NA,NA,234,NA,107.3,NA,18.64999,NA,NA,NA,NA,NA,11.75,NA,NA,17.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,55,NA,NA,NA,17.875,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,88.89999,NA,NA,NA,35,NA,NA,NA,NA,46,70,NA,NA
12/19/07,462.3999,NA,NA,NA,237,NA,105.3,NA,18.89999,NA,NA,NA,NA,NA,12.25,NA,NA,18.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,18.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,88.89999,NA,NA,NA,35,NA,NA,NA,NA,45.5,70,NA,NA
12/20/07,462.3999,NA,NA,NA,247.6814,NA,107.1956,NA,18.89999,NA,NA,NA,NA,NA,12.25,NA,NA,18.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,18.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,88.5,NA,NA,NA,35,NA,NA,NA,NA,45.5,70,NA,NA
12/21/07,462.3999,NA,NA,NA,242,6.275,100.3,7.8,21.89999,NA,NA,NA,NA,NA,14.5,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,21.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,88.5,NA,NA,NA,35,NA,NA,NA,NA,46,70,NA,NA
12/24/07,462.3999,NA,NA,NA,242,6.275,100.3,7.8,21.89999,NA,NA,NA,NA,NA,14.5,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,21.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,88.5,NA,NA,NA,35,NA,NA,NA,NA,46,70,NA,NA
12/25/07,462.3999,NA,NA,NA,242,6.275,100.3,7.8,21.89999,NA,NA,NA,NA,NA,14.5,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,21.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,88.5,NA,NA,NA,35,NA,NA,NA,NA,46,70,NA,NA
12/26/07,462.3999,NA,NA,NA,242,6.275,100.3,7.8,21.89999,NA,NA,NA,NA,NA,14.5,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,21.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,88.5,NA,NA,NA,35,NA,NA,NA,NA,46,70,NA,NA
12/27/07,462.3999,NA,NA,NA,242,6.275,98.29999,7.8,21.89999,NA,NA,NA,NA,NA,14.5,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,21.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,83.5,NA,NA,NA,35,NA,NA,NA,NA,45.5,70,NA,NA
12/28/07,462.3999,NA,NA,NA,242,6.275,100.3,7.8,21.89999,NA,NA,NA,NA,NA,14.5,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,55,NA,NA,NA,21.125,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,85.59999,NA,NA,NA,35,NA,NA,NA,NA,46.5,70,NA,NA
