Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,NL,PT,SK,SI,ES,LV
2010Q2,45.5,95.5,,-10.0,46.0,42.0,,214.0,141.5,231.32999999999998,5.0,250.5,44.0,38.5,210.0,319.67
2010Q3,45.0,90.33,,-8.670000000000002,40.33,37.67,,410.65999999999997,157.32999999999998,234.32999999999998,6.0,360.65999999999997,43.83,33.83,188.32999999999998,281.83
2010Q4,40.33,157.32999999999998,,-25.340000000000003,48.33,57.67,,538.83,176.82999999999998,192.32999999999998,3.6599999999999966,436.83,23.989999999999995,15.599999999999994,287.83,197.32999999999998
2011Q1,14.5,94.0,,-16.5,29.0,44.0,,586.0,102.0,172.0,-7.5,523.5,33.0,34.5,186.5,174.5
2011Q2,19.5,101.0,,-6.5,39.5,40.0,,692.5,133.0,162.5,-3.5,702.5,52.5,59.0,220.67000000000002,162.5
2011Q3,55.0,144.0,,-32.33,73.0,111.0,,570.67,353.33,210.0,-9.329999999999998,972.0,119.0,149.0,263.67,210.0
2011Q4,81.41999999999999,202.75,,-25.75,115.41999999999999,99.25,,592.42,376.75,259.75,15.75,953.25,193.75,298.44,271.08,259.75
2012Q1,79.00000000000001,155.33999999999997,1065.17,-8.659999999999997,93.33999999999999,72.33,,494.34,318.67,158.67000000000002,40.17,997.3000000000001,136.17000000000002,244.67000000000002,360.0,158.67000000000002
2012Q2,99.16999999999999,132.0,1267.88,-24.5,86.0,99.5,,440.5,378.5,153.5,8.0,655.16,136.5,301.94,421.83000000000004,177.0
2012Q3,13.0,70.5,867.91,-15.5,59.67,53.0,,264.33,301.33,109.5,8.5,436.09,84.5,329.5,335.33,119.66999999999999
2012Q4,2.6700000000000017,41.67,907.36,-12.670000000000002,50.67,40.0,,169.0,241.32999999999998,60.5,3.6700000000000017,391.28,54.64,182.88,251.0,70.5
2013Q1,6.25,40.75,867.3,-4.75,43.92,36.25,,148.25,265.42,79.0,20.25,375.25,56.75,346.25,259.42,81.99
2013Q2,6.5,40.84,1014.2899999999998,-5.829999999999998,48.5,30.83,,130.5,250.17000000000002,96.26,25.67,364.5,46.67,270.38,250.84000000000003,98.49
2013Q3,5.840000000000003,36.5,914.66,-1.8299999999999983,45.17,22.83,925.05,117.50000000000001,241.84000000000003,95.17,25.840000000000003,453.84000000000003,55.25,313.92,201.5,97.55
2013Q4,11.0,21.5,747.0,-4.0,28.5,24.0,591.91,92.0,139.0,88.97,11.5,316.0,54.34,195.83,125.5,87.8
2014Q1,17.0,19.5,348.779,-0.5,26.5,22.0,418.917,54.5,108.5,103.728,9.5,158.0,47.403000000000006,128.0,80.0,98.233
2014Q2,9.0,20.0,325.707,2.0,19.25,19.5,435.5,24.0,73.75,74.0,9.5,141.0,17.0,95.5,45.25,74.0
2014Q3,6.0,27.0,284.701,5.332999999999998,26.25,18.0,532.0,34.0,93.75,82.5,2.0,162.5,29.5,110.5,59.75,82.0
2014Q4,4.0,30.0,446.717,6.021000000000001,29.0,16.0,4246.568,30.5,114.5,89.192,3.0,175.5,37.625,115.08500000000001,74.0,90.197
2015Q1,8.0,28.0,509.293,4.5,21.5,16.0,1861.586,29.0,89.5,58.5,1.5,108.5,27.314,91.441,67.0,58.5
2015Q2,12.5,26.0,,6.5,19.5,15.0,1659.839,40.0,122.5,70.0,2.0,170.5,31.229999999999997,102.765,95.5,70.5
2015Q3,12.5,24.5,,4.5,18.5,12.0,1131.16,35.0,107.0,69.5,3.0,154.5,35.685,101.995,94.0,70.0
2015Q4,9.471,19.692,,4.672000000000001,13.014,11.631,976.8190000000001,25.822000000000003,82.379,65.451,2.353999999999999,154.871,36.44,99.054,75.724,65.543
2016Q1,9.517000000000003,29.6,,5.5390000000000015,13.725000000000001,16.9,1076.062,39.35,107.225,56.826,5.767000000000003,231.6,22.466,84.957,73.6,57.267
2016Q2,9.582999999999998,34.916,,6.582999999999998,19.583,18.917,894.8629999999999,56.333,131.333,46.25,8.25,271.95799999999997,19.067999999999998,79.499,84.958,46.083
2016Q3,6.25,8.047,230.571,6.260000000000002,9.629000000000001,18.75,905.622,36.833,132.766,29.667,6.018999999999998,293.25,21.441000000000003,83.364,61.45,27.75
2016Q4,7.376999999999999,12.562999999999999,225.983,1.8339999999999996,16.779,19.373,881.044,41.001999999999995,136.835,36.795,6.209999999999997,258.415,24.980999999999998,79.932,55.45599999999999,38.001000000000005
2017Q1,5.194000000000001,0.18200000000000038,198.207,4.950999999999999,34.334,15.833,841.339,34.417,152.972,38.619,7.334000000000001,228.975,21.693000000000005,61.763999999999996,60.042,37.739000000000004
2017Q2,4.013,4.729000000000001,173.203,3.6240000000000006,5.644999999999998,14.688,546.479,19.012,128.92000000000002,37.727999999999994,3.479000000000001,176.412,22.875999999999998,57.655,48.062,35.967999999999996
2017Q3,4.407,5.974,202.901,5.559999999999999,7.68,11.695,472.344,19.391,126.31700000000001,39.239,3.9299999999999997,123.60500000000002,25.394,51.83,50.18,33.766
2017Q4,2.3149999999999995,4.535,118.10900000000001,2.0519999999999996,5.834,10.166,360.104,13.209,104.917,35.834,2.279,78.334,23.901999999999997,45.331999999999994,43.775000000000006,27.904999999999998
2018Q1,1.5169999999999995,4.7010000000000005,119.77599999999998,1.0999999999999996,6.1,9.9,320.074,10.807999999999998,91.009,40.690000000000005,1.2669999999999995,56.933,29.548000000000002,42.553000000000004,28.604,42.437000000000005
2018Q2,1.9329999999999998,10.400000000000002,124.138,-0.01699999999999946,14.983,10.767,329.887,18.900000000000002,203.233,51.400000000000006,-1.9339999999999993,90.433,31.918000000000003,60.71300000000001,56.908,52.39
2018Q3,1.5500000000000007,10.667000000000002,121.43299999999999,1.3330000000000002,14.667000000000002,10.0,370.71,24.25,236.5,51.167,1.75,76.583,31.677999999999997,60.069,54.563,54.164
2018Q4,-1.1270000000000007,11.985999999999999,101.751,-1.0330000000000013,23.122999999999998,12.877,448.397,26.29,191.84099999999998,49.391999999999996,-1.0860000000000003,72.144,30.288999999999994,64.29,65.62100000000001,55.517999999999994
2019Q1,-0.5410000000000004,12.735000000000001,77.03099999999999,1.0,16.958,11.667,357.833,23.186,192.75,51.833,0.7089999999999996,59.339,31.309999999999995,64.605,50.925,50.437
