Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,NL,PT,SK,SI,ES,LV
2010-06-15,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-16,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-17,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-18,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-21,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-22,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-23,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-24,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-25,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-28,84.5,139.0,,32.0,94.5,43.0,,261.0,182.0,271.67,48.5,315.0,85.5,79.0,260.0,356.67
2010-06-29,91.0,146.33,,33.33,95.67,45.33,,268.33,194.0,277.5,49.67,318.33,90.0,85.0,265.0,365.0
2010-06-30,87.5,137.5,,32.0,88.0,42.0,,256.0,183.5,273.33,47.0,292.5,86.0,80.5,252.0,361.67
2010-07-01,85.67,138.67,,32.0,83.67,42.67,,258.0,179.0,281.32,46.0,296.0,89.7,85.83,257.67,371.84
2010-07-02,84.5,130.0,,31.5,79.0,40.5,,248.0,170.5,275.0,44.5,275.0,90.87,86.81,250.0,369.0
2010-07-05,88.0,134.0,,33.5,85.0,43.0,,253.5,176.0,277.5,47.5,282.5,86.0,80.0,258.0,364.0
2010-07-06,86.5,127.0,,31.0,85.0,41.5,,246.0,174.0,271.67,45.5,275.0,87.33,83.33,247.5,356.0
2010-07-07,87.0,123.5,,31.0,85.0,41.0,,243.0,169.0,272.5,45.5,275.0,86.0,80.0,245.0,359.0
2010-07-08,82.0,110.0,,29.5,81.0,39.0,,234.5,163.0,270.0,43.5,270.0,84.5,79.0,227.5,354.0
2010-07-09,80.33,104.33,,29.0,79.67,38.67,,224.67,163.0,260.0,43.0,258.67,83.0,76.5,206.33,347.0
2010-07-12,79.5,110.5,,28.5,79.5,39.0,,229.5,169.5,260.0,44.5,269.0,82.0,75.0,214.5,346.0
2010-07-13,78.5,106.5,,28.0,77.5,38.0,,222.5,169.0,255.0,43.5,274.5,80.67,75.33,205.5,338.33
2010-07-14,79.5,109.0,,29.5,77.5,39.5,,235.5,174.5,253.33,44.0,279.0,79.33,75.0,217.5,336.67
2010-07-15,79.0,110.0,,29.0,77.5,39.0,,244.0,173.5,260.0,44.0,279.0,79.0,75.0,215.0,342.5
2010-07-16,78.5,106.5,,28.0,76.5,38.0,,244.0,170.5,252.0,43.5,270.0,78.5,74.0,211.5,335.0
2010-07-19,91.5,108.5,,29.5,80.0,39.5,,256.0,172.5,262.5,45.0,279.5,84.0,79.0,209.0,345.0
2010-07-20,91.5,107.5,,29.0,80.25,40.0,,252.0,172.5,255.0,46.5,282.5,82.5,77.5,208.0,338.0
2010-07-21,86.0,103.5,,29.0,76.33,39.5,,248.0,168.33,251.0,45.5,274.0,81.0,76.0,201.0,333.67
2010-07-22,85.0,102.0,,27.5,76.5,40.0,,244.5,166.0,247.5,45.0,277.5,82.33,75.0,199.33,327.5
2010-07-23,83.0,98.5,,24.0,69.5,40.0,,239.0,158.0,247.5,41.5,265.5,82.33,75.0,199.0,327.5
