Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES,EE,LV,LU
2000-12,-0.706,3.965,-4.899,7.158,1.099,-1.761,-5.927,0.615,-0.273,-5.848,-5.161,1.738,-10.797,-3.083,-2.766,-4.31,-5.403,-4.717,12.603
2001-12,-0.796,3.335,-3.037,7.675,1.575,-0.368,-6.887,0.179,0.155,-4.682,-1.564,2.274,-10.449,-7.979,0.04,-4.375,-7.095,-7.534,8.313
2002-12,2.102,4.501,-3.444,7.818,1.148,1.891,-6.254,0.247,-0.498,-5.141,0.997,2.33,-8.383,-7.603,0.875,-3.73,-11.06,-6.49,9.333
2003-12,1.548,3.398,-2.042,4.314,0.836,1.414,-6.296,0.492,-0.787,-6.799,-1.232,5.154,-6.635,-4.893,-0.81,-3.883,-12.865,-7.8,6.48
2004-12,2.076,3.098,-4.548,5.603,0.533,4.52,-5.532,-0.098,-0.482,-7.614,-5.488,7.56,-7.957,-5.85,-2.692,-5.482,-11.924,-12.306,11.802
2005-12,2.258,1.995,-5.315,2.877,0.104,4.673,-7.347,-3.543,-0.883,-7.27,-8.163,7.047,-9.585,-7.287,-1.8,-7.254,-8.683,-11.857,10.985
2006-12,3.295,1.85,-6.287,3.931,0.253,5.772,-10.86,-5.351,-1.476,-10.897,-9.353,9.085,-10.259,-7.026,-1.836,-8.851,-14.937,-20.897,9.903
2007-12,3.802,1.496,-10.65,4.028,-0.102,6.861,-13.921,-6.507,-1.367,-15.482,-3.87,6.886,-9.62,-4.8,-4.138,-9.432,-14.862,-20.766,9.734
2008-12,4.49,-1.006,-14.74,2.543,-0.696,5.692,-14.481,-6.239,-2.795,-13.606,-1.052,4.966,-11.833,-6.358,-5.319,-8.903,-8.646,-12.327,7.574
2009-12,2.596,1.657,-6.688,1.996,-0.55,5.836,-10.87,-4.651,-1.885,1.43,-6.579,5.415,-10.293,-3.443,-1.061,-4.088,2.536,7.705,7.21
2010-12,2.855,1.624,-10.733,1.489,-0.629,5.744,-9.957,-1.195,-3.295,-1.279,-4.657,6.934,-10.256,-4.675,-0.75,-3.656,1.769,1.798,6.67
2011-12,1.631,-1.94,-2.315,-1.44,-0.859,6.213,-9.966,-1.646,-2.825,-4.557,-0.201,8.535,-5.977,-4.911,-0.814,-2.724,1.304,-3.233,6.047
2012-12,1.483,-0.081,-3.868,-2.055,-0.965,7.129,-2.434,-3.391,-0.231,-1.411,1.703,10.194,-1.612,0.931,1.321,0.086,-1.883,-3.644,5.642
2013-12,1.943,0.955,-1.474,-1.798,-0.51,6.557,-2.55,1.554,1.109,0.835,2.664,9.751,1.635,1.855,3.302,2.038,0.29,-2.745,5.422
2014-12,2.474,0.772,-4.074,-1.332,-0.956,7.204,-2.345,1.076,1.899,3.168,8.746,8.172,0.157,1.142,5.113,1.699,0.711,-2.266,5.16
2015-12,1.725,1.383,-0.45,-0.937,-0.368,8.59,-1.496,4.402,1.421,-2.813,2.802,6.293,0.23,-2.092,3.815,2.026,1.761,-0.884,5.072
2016-12,2.727,0.551,-4.216,-2.026,-0.486,8.509,-2.346,-4.191,2.594,-0.82,3.813,8.061,1.172,-2.741,4.812,3.176,1.656,1.436,4.945
2017-12,1.552,1.226,-5.098,-0.759,-0.714,7.824,-2.527,0.491,2.575,0.593,10.523,10.82,1.302,-1.915,6.256,2.675,2.673,1.019,4.902
2018-12,2.329,-1.385,-4.405,-1.368,-0.643,7.397,-3.475,10.585,2.492,0.29,10.421,10.875,0.389,-2.642,6.084,1.937,1.984,-0.681,4.756
2019-12,2.614,-1.227,-6.715,-0.1,-0.758,7.146,-2.107,-9.457,2.957,4.274,8.433,10.865,-0.085,-3.175,6.563,1.999,1.745,-0.535,4.481
