Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES
2000,213605999999.99997,258221999999.99994,10595000000.0,136260999999.99998,1478584999999.9998,2109090000000.0,141247000000.0,108372999999.99998,1239267000000.0,13367999999.999998,4136999999.999999,452006999999.99994,128413999999.99997,31600999999.999996,18853000000.0,646249999999.9999
2001,220524999999.99997,265787999999.99997,11416999999.999998,144437000000.0,1538199999999.9998,2172539999999.9998,152193999999.99997,121933999999.99998,1298890000000.0,14194999999.999998,4262999999.9999995,481880999999.99994,135774999999.99998,34310999999.999996,21147999999.999996,699527999999.9999
2002,226735000000.0,275064999999.99994,11877000000.0,148288999999.99997,1587828999999.9998,2198119999999.9995,163461000000.0,135949000000.0,1345795000000.0,15201999999.999998,4511999999.999999,501136999999.99994,142554000000.0,37280000000.0,23548999999.999996,749287999999.9999
2003,231862999999.99997,282636999999.99994,12845000000.0,151568999999.99997,1630665999999.9998,2211570000000.0,178904999999.99997,145551999999.99997,1390709000000.0,16667999999.999998,4759000000.0,512809999999.9999,146068000000.0,41404000000.0,25612999999.999996,803471999999.9999
2004,242347999999.99997,298711000000.0,13856999999.999998,158477000000.0,1704018999999.9998,2262519999999.9995,193716000000.0,156141999999.99997,1448363000000.0,18237999999.999996,4852000000.0,529285999999.9999,152247999999.99997,46101999999.99999,27627999999.999996,861419999999.9999
2005,254074999999.99997,311480999999.99994,14821999999.999998,164386999999.99997,1765904999999.9998,2288309999999.9995,199241999999.99997,170189999999.99997,1489724999999.9998,21001999999.999996,5148999999.999999,550883000000.0,158552999999.99997,50414999999.99999,29113999999.999996,930565999999.9999
2006,267823999999.99997,326661999999.99994,15999999999.999998,172613999999.99997,1848150999999.9998,2385079999999.9995,217861999999.99997,185008999999.99997,1548473999999.9998,24078999999.999996,5385999999.999999,584546000000.0,166259999999.99997,56273000000.0,31469999999.999996,1007973999999.9999
2007,283978000000.0,344711999999.99994,17512000000.0,186583999999.99997,1941359999999.9998,2499550000000.0,232694999999.99997,197201999999.99997,1609551999999.9998,29040999999.999996,5756999999.999999,619169999999.9999,175482999999.99997,63053999999.99999,35073999999.99999,1080806999999.9999
2008,293761999999.99994,354065999999.99994,19005999999.999996,193711000000.0,1992379999999.9998,2546489999999.9995,241989999999.99997,187752999999.99997,1632150999999.9998,32695999999.999992,6128999999.999999,647197999999.9999,179103000000.0,68492000000.0,37926000000.0,1116224999999.9998
2009,288043999999.99994,348781999999.99994,18673999999.999996,181028999999.99997,1936421999999.9998,2445729999999.9995,237533999999.99997,170075999999.99997,1572878999999.9998,26934999999.999996,6138999999.999999,624841999999.9999,175416999999.99997,64022999999.999985,36255000000.0,1079051999999.9998
2010,295896999999.99994,365100999999.99994,19298999999.999996,187099999999.99997,1995288999999.9998,2564400000000.0,226030999999.99997,167694999999.99997,1604515000000.0,28027999999.999996,6599999999.999999,639186999999.9999,179610999999.99997,67576999999.99999,36363999999.99999,1080934999999.9998
2011,310129000000.0,379107000000.0,19731000000.0,196868999999.99997,2058369000000.0,2693559999999.9995,207028999999.99997,170753999999.99997,1637460999999.9998,31274999999.999996,6831999999.999999,650359000000.0,176095999999.99997,70626999999.99998,37058999999.99999,1070449000000.0
2012,318653000000.0,387500999999.99994,19489999999.999996,199792999999.99997,2088803999999.9998,2745309999999.9995,191204000000.0,174967000000.0,1613265000000.0,33347999999.999996,7167999999.999999,652965999999.9999,168295999999.99997,72703999999.99998,36252999999.99999,1039814999999.9999
2013,323910000000.0,392340999999.99994,18140999999.999996,203337999999.99997,2117188999999.9995,2811349999999.9995,180653999999.99997,179420999999.99997,1604599999999.9998,34960000000.0,7644999999.999999,660462999999.9999,170491999999.99997,74170000000.0,36454000000.0,1025692999999.9999
2014,333146000000.0,400085999999.99994,17609999999.999996,205473999999.99997,2149764999999.9995,2927429999999.9995,178655999999.99997,194550999999.99997,1621826999999.9998,36567999999.99999,8507999999.999998,671559999999.9999,173053999999.99997,76087999999.99998,37633999999.99999,1037819999999.9998
2015,344259000000.0,411102999999.99994,17745999999.999996,209951999999.99997,2198431999999.9995,3030070000000.0,177258000000.0,262504000000.0,1652085999999.9998,37433999999.99999,9657999999.999998,690008000000.0,179712999999.99997,79138000000.0,38853000000.0,1081164999999.9999
2016,356237999999.99994,424604999999.99994,18489999999.999996,216072999999.99997,2234128999999.9995,3134099999999.9995,176487999999.99997,271379999999.99997,1689823000000.0,38848999999.99999,10346999999.999998,708336999999.9999,186490000000.0,81225999999.99998,40366999999.99999,1118742999999.9998
2017,369898999999.99994,439174999999.99994,19649000000.0,223917999999.99997,2295063000000.0,3244989999999.9995,180217999999.99997,296834999999.99994,1727382999999.9998,42191000000.0,11303000000.0,738145999999.9999,195946999999.99997,84850999999.99998,42987000000.0,1166318999999.9998
2018,386093999999.99994,450505999999.99994,20731000000.0,232095999999.99997,2353090000000.0,3344369999999.9995,184713999999.99997,323958999999.99994,1756980999999.9998,45113999999.99999,12323999999.999998,774038999999.9999,203895999999.99997,90201999999.99998,45755000000.0,1208248000000.0
2019,398649999999.99994,460880999999.99994,21618999999.999996,239420999999.99997,2410389000000.0,3439936999999.9995,190017999999.99997,342751999999.99994,1770688999999.9998,47761999999.99999,13230999999.999998,803460000000.0,210498999999.99997,94874999999.99998,48218999999.99999,1244669000000.0
