Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES
2000,140419999999.99997,280865999999.99994,5930999999.999999,57891999999.99999,870599999999.9999,1245785000000.0,148217000000.0,39095999999.99999,1302669000000.0,3139999999.9999995,2653999999.9999995,230080000000.0,64639999999.99999,15681999999.999998,5483999999.999999,374557000000.0
2001,146328000000.0,285966000000.0,6567999999.999999,59141999999.99999,897399999999.9999,1258748999999.9998,162970999999.99997,40537999999.99999,1360291999999.9998,3249999999.9999995,2988999999.9999995,232072999999.99997,72554000000.0,16565999999.999996,6035999999.999999,378882999999.99994
2002,151861999999.99997,288023999999.99994,7246000000.0,59566999999.99999,956799999999.9999,1312446999999.9998,171409999999.99997,41537999999.99999,1371769999999.9998,3365000000.0,2926999999.9999995,238212999999.99997,80133999999.99998,15985999999.999998,6707999999.999999,384144999999.99994
2003,150469999999.99997,285783999999.99994,8092999999.999999,64778000000.0,1050400000000.0,1400260999999.9998,181509999999.99997,43563999999.99999,1397471999999.9998,3394999999.9999995,3266999999.9999995,249820999999.99997,85725999999.99998,17219999999.999996,6941999999.999999,382774999999.99994
2004,157159999999.99997,288326999999.99994,8962999999.999998,67586999999.99999,1123599999999.9998,1470585999999.9998,199276000000.0,44055999999.99999,1449661000000.0,3404999999.9999995,3450000000.0,259946999999.99997,94453999999.99998,18734999999.999996,7424999999.999999,389887999999.99994
2005,173577999999.99997,294901000000.0,9490999999.999998,65651999999.99999,1189900000000.0,1541400000000.0,213969999999.99997,44378999999.99999,1518670000000.0,3701999999.9999995,3605999999.9999995,267037999999.99997,106918999999.99998,17201000000.0,7686999999.999999,393478999999.99994
2006,179443999999.99997,297423999999.99994,9445000000.0,65695999999.99999,1194099999999.9998,1591333999999.9998,225647999999.99997,43691999999.99999,1588074000000.0,4151999999.9999995,3472999999.9999995,257601999999.99994,115001999999.99998,17431000000.0,8204000000.0,392167999999.99994
2007,183848999999.99997,299997000000.0,9307000000.0,63424999999.99999,1252900000000.0,1600016000000.0,239914999999.99997,47148000000.0,1606202999999.9998,4610000000.0,3584999999.9999995,259883999999.99997,120087999999.99998,18980000000.0,7963999999.999999,383797999999.99994
2008,200984000000.0,327619999999.99994,8387999999.999999,63253999999.99999,1370299999999.9998,1669035000000.0,264774999999.99994,79620999999.99998,1671450999999.9998,4761999999.999999,3836999999.9999995,348130999999.99994,128190999999.99998,19493999999.999996,8215999999.999998,439770999999.99994
2009,229224999999.99997,347165000000.0,9864999999.999998,75481999999.99998,1607999999999.9998,1785683999999.9998,301062000000.0,104686000000.0,1770229999999.9998,7814999999.999999,4152999999.999999,348863999999.99994,146691000000.0,23236999999.999996,12526999999.999998,568700000000.0
2010,243870999999.99997,364077999999.99994,10769999999.999998,88159999999.99998,1701099999999.9998,2110667999999.9998,330569999999.99994,144229999999.99997,1851813000000.0,10150000000.0,4451999999.999999,379678999999.99994,162883999999.99997,27841999999.999996,13906999999.999998,649258999999.9999
2011,254857999999.99997,388934999999.99994,12868999999.999998,95489999999.99998,1807999999999.9998,2147548999999.9998,373819999999.99994,189729000000.0,1907995999999.9998,11628999999.999998,4796999999.999999,402121999999.99994,196230999999.99997,30846999999.999996,17204000000.0,743529999999.9999
2012,260214999999.99994,404288999999.99994,15430999999.999998,107707999999.99998,1892499999999.9998,2225204000000.0,305134999999.99994,210021999999.99997,1990139999999.9998,13263999999.999998,4855000000.0,433757999999.99994,212556000000.0,37926000000.0,19403999999.999996,891501999999.9999
2013,262403999999.99997,413729999999.99994,18518999999.999996,114800999999.99998,1977699999999.9998,2210739000000.0,321466000000.0,215337999999.99997,2070269999999.9998,13550999999.999998,5227000000.0,448017999999.99994,219714999999.99997,40600000000.0,25504999999.999996,979030999999.9999
2014,279035999999.99994,430185999999.99994,19013999999.999996,123695999999.99998,2039899999999.9998,2212280000000.0,321958999999.99994,203354999999.99997,2137332999999.9998,14826999999.999998,5389999999.999999,456747999999.99994,226028999999.99997,40725000000.0,30219999999.999996,1041623999999.9999
2015,290567000000.0,437175999999.99994,19164000000.0,133205999999.99997,2101300000000.0,2181972000000.0,315208999999.99994,201623999999.99997,2173427999999.9995,15939999999.999998,5586000000.0,445966999999.99994,231540999999.99997,41295000000.0,32087000000.0,1073933999999.9999
2016,295199999999.99994,450544999999.99994,19508999999.999996,136151999999.99997,2188499999999.9998,2165890999999.9998,319572999999.99994,200711000000.0,2220369999999.9995,15513999999.999998,5740000000.0,438371999999.99994,240957999999.99997,42052999999.99999,31752999999.999996,1107220000000.0
2017,290331000000.0,454111999999.99994,18813999999.999996,137277999999.99997,2258699999999.9995,2115396999999.9998,323086000000.0,201367999999.99997,2269010000000.0,16632000000.0,5682999999.999999,420055999999.99994,242804999999.99997,43231000000.0,31858999999.999996,1144424999999.9998
2018,284757999999.99994,459650999999.99994,21255999999.999996,137544999999.99997,2315300000000.0,2063171999999.9998,341444999999.99994,206213999999.99997,2321956999999.9995,15416999999.999998,5570000000.0,405504000000.0,244930999999.99997,44140999999.99999,32231999999.999996,1173106999999.9998
2019,281975000000.0,465531999999.99994,20768000000.0,141124999999.99997,2393724999999.9995,2015007999999.9998,335643999999.99994,208852999999.99997,2357724000000.0,15189999999.999998,5602999999.999999,395524999999.99994,247450999999.99997,45871999999.99999,32331000000.0,1200012999999.9998
