Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES
2000Q4,65.738,108.769,55.978,42.486,58.881,59.067,104.935,36.076,105.116,23.488,64.154,50.902,50.337,49.624,29.086,57.959
2001Q4,66.355,107.592,57.524,40.947,58.341,57.939,107.081,33.246,104.727,22.895,70.121,48.16,53.437,48.281,28.54,54.163
2002Q4,66.978,104.711,61.01,40.17,60.258,59.708,104.863,30.554,101.93,22.138,64.877,47.535,56.213,42.882,28.485,51.268
2003Q4,64.896,101.113,63.005,42.738,64.415,63.315,101.456,29.93,100.486,20.366,68.659,48.716,58.689,41.589,27.101,47.64
2004Q4,64.849,96.524,64.687,42.648,65.938,64.998,102.87,28.215,100.09,18.667,71.09,49.113,62.039,40.639,26.876,45.261
2005Q4,68.318,94.677,64.03,39.937,67.382,67.36,107.392,26.076,101.943,17.626,70.036,48.475,67.434,34.119,26.404,42.284
2006Q4,67.001,91.049,59.031,38.059,64.611,66.72,103.574,23.616,102.557,17.243,64.478,44.069,69.17,30.975,26.07,38.907
2007Q4,64.74,87.028,53.149,33.993,64.537,64.012,103.103,23.908,99.792,15.873,62.26,41.973,68.433,30.101,22.708,35.51
2008Q4,68.417,92.531,44.134,32.654,68.777,65.543,109.416,42.407,102.408,14.565,62.607,53.79,71.574,28.461,21.663,39.398
2009Q4,79.58,99.536,52.826,41.696,83.04,73.012,126.745,61.552,112.547,29.014,67.649,55.832,83.625,36.294,34.553,52.704
2010Q4,82.418,99.72,55.803,47.119,85.256,82.307,146.25,86.007,115.413,36.216,67.461,59.4,90.687,41.201,38.245,60.065
2011Q4,82.178,102.592,65.224,48.504,87.837,79.729,180.564,111.112,116.522,37.183,70.208,61.831,111.434,43.676,46.423,69.46
2012Q4,81.661,104.332,79.175,53.91,90.602,81.055,159.586,120.035,123.361,39.774,67.733,66.429,126.299,52.165,53.523,85.737
2013Q4,81.011,105.452,102.085,56.458,93.412,78.636,177.946,120.018,129.021,38.761,68.364,67.834,128.871,54.739,69.964,95.451
2014Q4,83.758,107.523,107.972,60.2,94.889,75.571,180.212,104.525,131.786,40.546,63.35,68.013,130.612,53.524,80.299,100.367
2015Q4,84.404,106.342,107.991,63.446,95.582,72.011,177.825,76.808,131.557,42.582,57.833,64.632,128.839,52.181,82.588,99.331
2016Q4,82.866,106.109,105.512,63.012,97.958,69.107,181.074,73.959,131.397,39.933,55.476,61.887,129.207,51.773,78.663,98.97
2017Q4,78.489,103.401,95.753,61.307,98.416,65.19,179.275,67.838,131.355,39.42,50.276,56.907,123.914,50.95,74.113,98.123
2018Q4,73.754,102.03,102.534,59.262,98.394,61.691,184.851,63.654,132.156,34.173,45.196,52.388,120.125,48.936,70.445,97.092
2019Q4,70.733,101.009,96.065,58.944,99.309,58.577,176.638,60.934,133.153,31.804,42.345,49.228,117.554,48.35,67.05,96.412
