Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES,EE,LV,LU
2000-06,99.72,93.71,90.3,100.6,98.44,100.88,86.31,83.39,95.02,86.28,90.44,92.99,94.55,58.83,94.92,88.57,80.3,96.68,94.7
2000-07,99.26,93.58,90.18,99.91,97.85,100.94,84.42,83.21,94.75,86.07,90.55,92.47,94.52,58.34,94.8,88.85,80.78,95.84,93.37
2000-08,98.48,92.32,88.61,98.75,96.71,99.04,83.4,81.89,93.56,87.76,90.17,91.39,93.8,57.96,94.18,88.29,79.85,96.68,93.97
2000-09,97.67,91.66,87.95,97.95,95.77,97.53,83.56,80.64,92.26,89.72,89.4,90.89,92.85,57.12,94.4,87.46,78.93,97.46,93.47
2000-10,97.53,90.81,87.64,97.28,94.96,96.64,83.75,80.19,91.99,90.99,90.15,90.43,92.82,56.38,94.23,87.21,79.21,97.83,93.49
2000-11,97.86,91.25,88.3,97.45,95.27,96.8,84.05,80.89,92.29,90.92,90.44,90.62,93.58,57.35,94.51,87.47,79.68,96.99,93.7
2000-12,98.68,92.24,90.33,99.04,96.56,99.34,85.4,82.84,93.71,87.86,90.56,91.75,94.54,56.86,94.25,88.7,80.83,94.53,94.55
2001-01,99.95,93.67,90.37,100.97,97.75,100.93,85.41,84.54,95.76,84.68,90.62,94.57,95.84,57.84,94.55,89.95,83.09,93.09,94.08
2001-02,99.55,93.37,89.32,100.73,97.3,100.62,84.79,84.49,95.43,85.58,90.47,94.53,95.45,58.66,94.61,89.72,82.62,93.31,94.69
2001-03,99.51,93.32,90.34,101.14,97.55,100.41,86.52,84.8,95.37,86.78,91.36,95.18,95.65,58.88,95.21,89.94,82.59,93.57,94.69
2001-04,99.31,93.33,90.43,100.59,97.2,100.01,86.83,84.58,95.01,87.69,91.76,94.88,95.56,59.07,94.97,89.77,82.33,93.81,94.23
2001-05,98.47,92.73,89.22,99.76,96.54,98.79,86.01,83.63,93.92,88.58,91.9,93.83,95.47,59.19,94.65,89.08,81.79,95.08,93.91
2001-06,97.9,92.24,89.48,99.0,95.83,97.91,85.29,83.14,93.41,90.4,91.72,92.7,95.26,59.4,94.27,88.86,81.48,96.41,93.74
2001-07,98.39,92.69,88.85,98.98,96.18,98.86,84.33,83.59,94.15,89.78,92.7,93.31,95.67,59.9,94.35,89.52,82.43,95.8,93.12
2001-08,99.11,93.85,90.9,100.91,97.49,100.23,85.35,85.5,95.53,87.83,93.32,95.01,96.14,59.63,94.84,90.67,83.36,93.91,94.92
2001-09,99.57,94.19,92.24,101.93,97.74,100.35,87.03,85.98,95.64,86.76,93.62,96.22,96.09,59.25,95.58,90.7,83.58,94.46,94.97
2001-10,99.64,94.08,93.24,101.67,97.83,100.12,87.26,86.34,95.78,87.15,93.3,96.2,96.51,58.94,95.69,90.6,83.46,94.7,95.17
2001-11,99.03,93.61,92.16,100.28,96.85,98.92,86.65,85.59,95.16,88.05,94.48,95.37,96.81,59.29,95.77,90.01,82.88,95.26,95.01
2001-12,98.85,93.44,92.61,100.41,96.98,100.1,87.43,86.34,95.18,87.63,94.81,95.28,96.83,59.09,95.82,90.26,83.07,94.67,94.75
2002-01,98.69,93.63,90.79,100.1,96.97,99.34,86.68,85.82,95.02,88.65,94.26,95.57,96.67,60.32,96.71,89.66,83.46,94.2,93.57
2002-02,98.11,93.16,90.0,99.48,96.44,98.97,85.14,85.54,94.77,89.95,93.31,95.31,96.13,60.62,95.84,89.35,83.33,93.91,94.31
2002-03,97.96,93.12,90.36,99.62,96.64,98.96,87.11,86.18,94.79,89.07,92.95,95.91,96.12,60.82,95.83,89.88,83.21,94.2,94.08
2002-04,98.09,92.98,90.89,99.91,96.8,98.49,87.56,86.87,94.81,88.74,92.87,96.26,96.43,61.06,96.49,90.92,83.88,93.45,94.27
2002-05,99.0,93.85,91.3,101.14,97.73,99.67,88.18,88.6,95.95,89.28,93.11,97.2,97.41,59.67,96.76,91.85,84.69,92.28,94.83
2002-06,99.9,94.71,92.83,102.2,99.01,101.31,89.1,90.44,97.42,90.18,92.89,98.32,98.43,58.07,96.88,92.84,85.51,90.63,95.57
2002-07,100.43,95.84,93.69,103.43,100.0,102.75,88.38,91.05,98.74,91.19,93.69,99.32,99.24,57.92,97.71,92.86,86.19,89.49,95.19
2002-08,100.49,95.37,94.67,102.98,99.82,102.17,88.18,91.01,98.49,90.45,93.93,99.19,99.04,59.09,97.34,92.82,85.52,89.52,95.95
2002-09,100.26,95.41,95.47,103.01,99.8,101.91,89.63,91.3,98.44,89.56,94.37,100.12,98.73,60.43,97.43,92.98,85.33,89.68,96.02
2002-10,100.49,95.29,96.09,103.29,99.91,101.74,90.07,91.81,98.65,89.91,94.75,99.95,99.16,62.19,97.49,93.89,85.64,89.48,96.36
2002-11,100.58,95.55,96.46,103.34,100.21,101.6,90.19,92.6,99.25,90.06,94.63,100.08,99.97,62.66,97.25,94.18,85.73,88.87,96.67
2002-12,100.73,95.74,97.17,103.6,100.56,103.05,90.96,93.79,99.49,90.44,94.71,100.05,100.02,62.74,97.42,94.56,85.68,88.49,96.46
2003-01,101.5,97.09,97.38,104.74,101.72,104.14,91.24,95.05,100.88,91.03,94.46,101.6,100.68,66.56,98.38,94.79,87.23,87.53,96.02
2003-02,101.42,97.77,97.29,105.57,102.53,105.06,91.41,96.42,101.1,90.84,94.86,102.43,100.57,66.4,98.49,94.98,87.39,87.21,97.06
2003-03,101.59,97.89,98.81,105.91,102.87,104.99,93.49,97.21,101.33,91.26,95.3,103.36,100.4,67.09,98.9,95.56,87.63,87.44,97.18
2003-04,101.65,97.63,98.79,105.68,102.71,104.67,93.56,97.67,101.55,91.15,95.28,103.5,100.98,68.31,99.05,96.31,87.41,87.17,97.23
2003-05,102.8,98.96,100.21,107.68,104.35,106.49,95.32,100.37,103.54,92.24,96.68,105.61,102.43,68.78,99.92,97.43,88.38,85.18,98.11
2003-06,103.13,99.29,99.8,107.78,104.66,107.28,95.22,100.56,103.75,92.45,97.21,105.32,102.39,68.53,99.96,97.51,88.13,85.34,98.02
2003-07,102.62,98.93,97.52,106.45,103.92,106.69,92.71,98.92,103.26,91.34,96.1,104.71,101.95,67.92,99.83,96.44,87.99,85.9,96.93
2003-08,102.49,98.5,97.39,105.82,103.37,105.72,91.94,98.47,102.74,90.16,95.21,104.14,101.49,68.16,98.81,96.32,87.5,85.67,97.8
2003-09,102.31,98.39,98.87,105.64,103.4,105.27,93.23,98.2,102.5,89.62,95.16,104.72,101.31,69.2,98.74,96.24,87.28,86.04,97.94
2003-10,102.66,98.77,100.54,106.43,104.42,106.3,94.34,99.44,103.41,90.4,97.16,105.42,102.07,69.82,99.26,97.44,87.88,85.82,98.22
2003-11,102.97,98.93,100.85,106.2,104.45,105.93,94.54,99.35,103.63,90.7,97.17,105.09,102.25,70.26,99.25,97.68,87.61,86.33,98.41
2003-12,103.7,99.86,101.03,107.71,105.66,108.3,95.9,101.55,104.84,91.4,98.9,105.82,102.74,70.68,99.51,98.6,88.24,84.83,98.87
2004-01,103.94,100.53,100.07,107.89,106.04,108.69,95.48,101.58,105.33,91.48,99.28,106.38,103.04,74.54,99.56,98.06,89.03,84.98,98.26
2004-02,103.9,100.51,99.87,108.23,106.15,108.64,94.79,101.84,105.26,91.11,99.22,106.43,102.6,75.3,99.29,97.75,89.06,85.54,99.19
2004-03,103.21,99.45,98.82,106.29,105.27,107.42,95.94,100.67,104.21,90.43,98.46,105.88,101.92,75.04,98.76,97.43,88.31,86.9,98.52
2004-04,102.41,98.92,98.15,104.97,104.31,106.39,95.18,99.41,103.29,89.9,97.98,104.81,101.8,74.87,98.4,97.86,88.04,87.88,98.08
2004-05,102.76,99.49,99.45,105.29,104.9,106.9,95.99,99.99,103.79,91.18,98.15,105.24,102.41,74.89,98.93,98.61,89.84,87.9,98.17
2004-06,103.06,99.44,100.62,105.3,104.92,106.8,95.68,100.56,103.94,91.02,98.84,104.66,102.55,75.32,98.87,98.73,90.2,88.2,98.38
2004-07,103.01,100.04,100.28,105.52,104.99,107.17,94.1,100.64,104.24,90.98,99.53,104.84,102.64,75.5,99.03,98.12,90.14,87.98,97.44
2004-08,103.21,99.88,101.13,105.52,104.94,107.0,93.58,101.05,104.21,90.4,98.27,104.86,101.99,74.87,98.32,98.35,89.84,87.91,98.4
2004-09,103.23,99.93,102.17,105.71,105.04,106.63,95.41,101.25,104.15,90.76,98.21,105.69,101.86,75.03,98.25,98.53,89.67,87.72,98.55
2004-10,103.62,100.65,103.66,106.24,105.48,106.95,96.31,101.96,104.27,90.8,99.01,106.05,102.31,75.05,98.52,99.67,90.0,86.93,98.87
2004-11,104.17,101.13,104.41,106.42,106.18,107.48,96.76,103.39,104.88,91.26,100.01,106.57,103.09,75.9,99.28,100.34,90.81,86.05,99.38
2004-12,104.49,101.12,104.71,106.89,106.71,109.29,97.28,104.38,105.44,90.98,100.89,106.22,103.22,76.76,98.75,100.37,91.1,84.89,99.24
2005-01,104.32,101.04,101.46,105.79,105.56,107.55,96.95,102.75,104.8,90.46,99.43,105.98,102.77,78.2,97.88,99.15,90.6,84.22,98.25
2005-02,103.75,100.86,100.1,105.54,105.28,106.8,94.89,102.62,104.1,89.72,99.25,105.57,102.04,78.78,97.7,98.56,90.38,84.35,99.1
2005-03,103.93,101.42,100.38,105.86,105.93,107.37,96.94,102.97,104.38,89.92,99.59,106.56,102.04,78.11,98.45,99.27,90.81,84.58,98.96
2005-04,103.33,101.0,100.74,105.23,105.38,106.34,97.11,102.32,103.84,90.05,99.54,105.92,101.97,76.25,98.31,100.16,90.89,85.3,98.91
2005-05,103.09,100.54,100.67,104.04,104.74,105.64,96.76,101.79,103.44,89.9,99.09,105.0,101.93,76.41,98.32,99.76,90.64,85.56,98.67
2005-06,102.46,99.65,100.29,102.66,103.49,104.25,95.52,100.2,102.05,89.01,97.4,103.09,101.13,76.77,97.72,98.91,90.45,85.25,97.93
2005-07,101.91,100.2,99.22,102.21,103.18,104.53,94.26,100.12,102.3,88.89,96.43,102.76,101.54,75.81,98.31,98.19,90.97,85.31,97.21
2005-08,102.1,100.31,100.06,102.73,103.64,104.7,93.8,100.78,102.49,88.86,96.74,103.37,101.51,75.95,97.54,98.6,91.13,85.08,98.44
2005-09,101.97,99.77,101.16,102.53,103.4,104.03,95.34,100.86,101.8,88.82,96.94,103.54,101.13,76.18,98.19,98.67,91.2,85.69,98.28
2005-10,101.77,99.19,102.26,101.94,102.85,103.63,95.57,100.28,101.53,89.09,97.97,102.9,101.15,75.95,98.08,99.11,90.93,86.08,98.61
2005-11,101.4,98.98,102.41,101.46,102.33,102.85,95.07,99.74,101.31,89.07,97.96,102.28,101.42,76.28,97.57,99.02,90.8,86.34,98.26
2005-12,101.43,98.81,101.49,101.24,102.28,103.6,95.32,99.62,101.09,88.75,97.84,101.6,101.33,77.67,97.2,99.05,90.38,85.86,97.86
2006-01,101.26,99.11,99.67,100.94,102.43,103.31,95.26,99.81,101.52,89.0,96.15,101.53,101.23,79.88,96.61,98.84,91.08,86.67,97.58
2006-02,100.8,98.77,98.97,100.78,102.02,102.87,93.31,100.0,100.87,88.29,95.77,101.01,100.88,79.96,96.34,98.15,90.81,86.34,98.62
2006-03,101.19,98.77,99.84,101.18,102.44,103.12,95.56,100.71,101.25,88.65,97.1,102.0,101.99,80.02,97.16,98.93,90.91,86.63,98.81
2006-04,101.67,99.18,100.41,101.65,102.82,103.54,96.12,101.84,101.51,89.1,98.36,102.54,102.05,80.32,97.67,100.27,91.36,86.91,98.88
2006-05,102.05,100.0,101.14,102.45,103.81,104.2,96.8,102.92,102.47,89.59,99.78,103.36,102.61,80.27,98.53,101.04,91.99,88.01,99.27
2006-06,102.32,100.08,101.72,102.6,103.97,104.82,97.04,103.16,102.83,90.04,99.73,103.1,102.64,79.57,98.42,101.41,92.35,88.36,99.36
2006-07,102.03,100.4,100.38,102.34,103.77,105.24,96.34,103.54,103.14,90.3,99.1,102.85,102.49,79.02,98.18,100.75,92.8,88.74,98.42
2006-08,102.25,100.29,100.56,102.66,103.94,104.82,95.42,103.96,103.09,89.88,98.59,103.28,102.1,80.28,98.57,100.72,93.31,88.23,99.42
2006-09,102.17,99.89,101.11,102.59,103.61,104.3,96.79,104.22,102.89,89.79,98.98,103.55,102.57,80.47,99.02,100.45,92.89,88.88,99.4
2006-10,101.81,99.44,101.28,102.57,103.06,103.92,97.03,103.79,102.46,90.39,99.03,102.95,102.41,81.91,98.01,100.64,92.47,89.01,99.08
2006-11,101.93,99.9,101.48,102.66,103.39,104.07,97.0,104.78,102.69,90.87,98.7,103.08,102.56,84.34,98.11,101.0,93.0,89.47,99.24
2006-12,101.99,100.15,101.38,102.93,103.76,105.2,97.46,105.66,102.86,90.92,99.06,102.88,102.69,86.36,98.27,101.28,93.2,89.54,99.29
2007-01,101.74,99.87,99.16,102.29,103.03,104.75,96.86,104.81,102.56,90.68,97.37,102.51,102.41,87.46,97.5,100.31,93.8,90.58,98.6
2007-02,101.67,100.13,98.87,102.69,102.94,104.98,95.32,105.52,102.6,90.64,97.39,102.68,102.13,88.13,97.0,100.08,93.58,90.36,99.68
2007-03,101.94,100.03,99.82,103.42,103.33,105.13,97.47,106.55,102.65,90.96,98.03,103.87,103.13,89.7,97.69,100.76,94.38,90.25,99.86
2007-04,102.27,100.25,100.46,103.84,103.68,105.5,97.87,107.49,102.56,91.27,98.79,104.37,103.51,90.38,98.33,101.95,94.55,91.3,99.81
2007-05,102.28,99.8,100.41,103.38,103.62,105.11,97.79,107.61,102.5,91.31,98.67,104.11,103.39,89.55,99.22,101.93,94.93,92.45,99.82
2007-06,102.16,99.51,99.76,103.23,103.37,104.86,97.38,107.24,102.34,91.3,98.32,103.25,103.06,88.98,99.43,101.79,95.18,93.1,99.79
2007-07,102.09,100.17,99.17,103.18,103.3,105.62,96.69,108.14,102.75,91.72,98.74,102.96,103.02,90.6,99.34,101.17,96.03,93.84,98.78
2007-08,101.86,99.8,99.62,103.15,103.51,105.22,95.77,108.26,102.73,92.12,98.73,102.88,102.4,89.77,99.62,101.13,96.11,94.11,99.9
2007-09,102.08,99.97,100.83,103.61,103.77,105.6,97.66,109.18,102.8,93.05,100.16,103.73,102.78,89.26,99.79,101.52,96.77,94.86,100.01
2007-10,102.49,100.47,101.66,103.68,103.93,105.71,98.19,109.79,102.95,93.83,101.01,103.75,102.88,89.97,100.06,102.73,97.27,96.13,100.37
2007-11,102.81,101.6,102.73,104.31,104.66,106.52,98.99,111.13,103.48,94.51,101.84,104.19,103.04,91.14,100.65,103.53,98.45,97.46,100.56
2007-12,103.06,101.54,102.59,103.73,104.63,106.64,98.99,110.99,103.32,94.43,101.44,103.22,102.79,90.36,100.58,103.56,98.88,98.07,100.58
2008-01,102.69,102.08,101.18,104.67,104.48,106.03,98.71,110.99,103.75,95.56,100.67,103.44,102.9,90.86,100.52,102.9,100.56,100.26,100.03
2008-02,102.06,102.13,101.14,104.23,103.89,105.58,97.27,111.73,103.17,95.82,100.47,103.31,102.42,91.72,99.85,102.33,100.0,100.95,100.58
2008-03,103.13,103.56,103.07,106.08,105.5,107.21,100.42,114.57,104.49,96.89,103.51,105.37,103.94,94.13,101.34,103.87,101.04,102.37,101.28
2008-04,103.5,103.94,104.41,106.33,105.99,107.0,101.21,115.26,104.8,97.64,104.5,105.98,104.02,94.51,101.98,105.12,101.81,103.37,101.51
2008-05,103.34,103.98,104.22,105.9,105.57,106.51,101.09,114.8,104.35,97.45,104.29,105.35,103.67,96.8,102.19,104.9,101.44,103.18,101.35
2008-06,102.93,104.08,104.04,105.77,105.36,106.15,100.46,114.73,104.22,97.47,104.08,104.59,103.66,99.94,102.46,104.93,101.6,102.56,101.37
2008-07,102.39,104.56,103.41,105.51,104.97,106.53,99.43,114.66,104.58,97.35,104.86,104.64,103.03,99.21,101.97,104.29,102.16,102.34,100.63
2008-08,101.58,102.8,102.79,104.61,103.76,104.78,97.41,113.17,103.53,97.02,102.95,103.54,102.05,99.1,100.86,103.02,101.36,101.3,100.71
2008-09,101.47,102.25,103.26,104.36,102.87,103.74,98.84,112.08,102.46,97.33,103.45,103.05,102.35,99.94,100.55,102.36,101.44,101.85,100.46
2008-10,100.82,100.97,103.49,103.29,101.56,102.17,98.28,109.46,101.41,98.2,105.25,101.23,101.79,99.95,100.38,101.89,101.31,102.28,99.93
2008-11,100.64,100.5,102.9,102.87,101.08,101.64,98.24,108.56,101.04,98.54,105.01,100.76,101.54,100.98,99.95,101.62,101.39,102.45,99.44
2008-12,102.16,102.71,104.38,106.0,103.31,105.19,99.85,111.26,103.48,101.31,108.3,102.75,102.55,103.76,100.94,103.34,104.12,104.68,100.15
2009-01,101.97,102.94,102.24,106.13,102.91,104.8,99.5,109.32,103.52,105.18,105.46,103.0,102.34,105.27,101.04,102.13,103.96,108.52,99.23
2009-02,101.95,102.42,102.09,105.8,102.46,104.8,98.05,106.95,103.11,106.21,105.79,102.76,101.77,105.93,101.52,101.37,103.74,110.21,100.45
