Date,AT,BE,CY,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES,US
2000-01,4.657,,,3.889789,,,3.918,,,,4.031,,,,,6.227
2000-02,4.66,,,3.989362,,,3.994,,,,4.089,,,,,6.209
2000-03,4.629,,,4.14497,,,4.075,,,,4.17,,,,,6.244
2000-04,4.811,,,4.34707,4.429,,4.278,,,,4.359,,,,,6.161
2000-05,5.221,,,4.751793,4.882,,4.576,,,,4.78,,,,,6.169
2000-06,5.207,,,4.850198,4.812,,5.058,,,,4.793,,,,,6.062
2000-07,5.293,,,5.053085,4.934,,5.13,,,,4.903,,,,,6.056
2000-08,5.437,,,5.112148,5.032,,5.257,,,,5.238,,,,,6.196
2000-09,5.111,,,5.049174,4.967,,5.136,,,,5.114,,,,,6.062
2000-10,5.279,,,5.145843,5.156,,5.323,,,,5.215,,,,,6.168
2000-11,5.011,,,4.894692,4.926,,5.17,,,,4.955,,,,,5.925
2000-12,4.667,,,4.600483,4.603,,4.931,,,,4.612,,,,,5.361
2001-01,4.577,,,4.395055,4.55,,4.54,,,,4.505,,,,,4.563
2001-02,4.579,,,4.447237,4.459,,4.623,,,,4.511,,,,,4.457
2001-03,4.358,,,4.21486,4.272,,4.308,,,,4.274,,,,,4.081
2001-04,4.841,,,4.614913,4.646,,4.718,,,,4.712,,,,,3.917
2001-05,4.534,,,4.327395,4.373,,4.459,,,,4.375,,,,,3.56
2001-06,4.428,,,4.134972,4.248,,4.386,,,,4.284,,,,,3.597
2001-07,4.216,,,4.097402,4.129,,4.781,,,,4.253,,,,,3.433
2001-08,3.981,,,3.889172,3.903,,5.033,,,,4.128,,,,,3.41
2001-09,3.62,,,3.363246,3.383,,6.119,,,,3.519,,,,,2.49
2001-10,3.205,,,3.12469,3.162,,3.211,,,,3.151,,,,,2.07
2001-11,3.386,,,3.074786,3.218,,3.332,,,,3.294,,,,,2.06
2001-12,3.582,,,3.185,3.312,,3.362,,,,3.423,,,,,2.17
2002-01,3.783785,,,3.49,3.482,,3.508,,,,3.628,,,,,2.29
2002-02,3.764,,,3.45,3.438,,3.519,,,,3.55,,,,,2.25
2002-03,4.138,,,3.83,3.66,,3.451,,,,3.962,,,,,2.7
2002-04,3.86,,,3.69,3.781,,3.502,,,,3.731,,,,,2.35
2002-05,4.024,,,3.85,3.894,,3.623,,,,3.852,,,,,2.34
2002-06,3.73,,,3.64,3.617,,3.421,,,,3.59,,,,,2.06
2002-07,3.39,,,3.36,3.0,,3.325,,,,3.344,,8.532,,,1.8
2002-08,3.29,,,3.29,3.222,,3.237,,,,3.312,,8.178,,,1.74
2002-09,2.972,,,2.97,2.914,,,,,,2.984,,8.059,,,1.53
2002-10,2.972,,,2.93,2.979,,,,,,2.905,,7.984,,,1.46
2002-11,2.888,,,2.89,2.935,,,,,,2.959,,6.334,,,1.56
2002-12,2.706,,,2.54,2.658,,,,,,2.642,,6.138,,,1.32
2003-01,2.63,,,2.516,2.466,,,,,,2.523,,5.574,,,1.31
2003-02,2.441,,,2.19,2.262,,,,,,2.261,,5.222,,,1.24
2003-03,2.382,,,2.27,1.986,,,,3.1,,2.296,,5.683,,,1.19
2003-04,2.355,,,2.24,2.287,,,,,,2.262,,5.497,,,1.22
2003-05,2.085,,,2.036,2.076,,,,2.12,,2.076,,5.568,,,1.13
2003-06,2.026,,,1.925,1.987,,,,1.41,,2.013,,5.941,,,1.09
2003-07,2.241,,,2.08,2.107,,,,,,2.202,,6.202,,,1.28
2003-08,2.334,,,2.205,2.206,,,,,,2.318,,5.452,,,1.35
2003-09,2.071,,,2.0,2.043,,,,,,2.027,,5.45,,,1.15
2003-10,2.279,,,2.275,2.187,,,,6.895501099,,2.264,,5.497,,,1.31
2003-11,2.319,,,2.38,2.209,,,,2.25,,2.341,,5.695,,,1.39
2003-12,2.136,,,2.15,2.136,,,,6.828464727,,2.163,,5.706,,,1.26
2004-01,2.454,,,2.128,2.067,,,,6.972141054,,2.366,,5.283,,,1.28
2004-02,2.156,,,1.994,2.021,,,,6.885188581,,2.093,,5.617,,,1.21
2004-03,2.015,1.882,,1.87,1.872,,,,6.8260648,,1.974,,5.05,,,1.2
2004-04,2.299,2.168,,2.125,2.131,,,,6.907222273,,2.243,,4.904,,,1.55
2004-05,2.467,2.231,,2.185,2.193,,,,6.866115006,,2.368,,4.815,,,1.83
2004-06,2.452,2.287,,2.27,2.226,,,,6.838853005,,2.354,,3.942,,,2.09
2004-07,2.376,2.251,,2.3,2.202,,,,6.794652569,,2.299,,4.124,,,2.13
2004-08,2.262,2.217,,2.199,2.138,,,,7.004512653,,2.193,,4.952,,,1.99
2004-09,2.344,2.278,,2.275,2.18,,,,2.42,,2.248,,3.576,,,2.21
2004-10,2.229,2.214,,2.218,2.168,,,,2.449,,2.222,,3.977,,,2.28
2004-11,2.207,2.218,,2.23,2.266,,,,2.361,,2.191,,3.767,,,2.63
2004-12,2.218,2.277,,2.227,2.273,,,,2.391,,2.18,,3.645,,,2.75
2005-01,2.316,2.186,,2.177,2.202,,,,2.361,,2.155,,3.136,,,2.96
2005-02,2.374,2.241,,2.237,2.223,,,,2.281,,2.108,,2.357,,,3.2
2005-03,2.342,2.256,,2.233,2.196,,,,2.37,,2.132,,2.496,,,3.35
2005-04,2.139,2.097,,2.085,2.067,,,,2.312,,2.149,,2.521,,,3.33
