Date,AT,BE,CY,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES,US
2000Q1,4.629,,,4.14497,,,4.075,,,,4.17,,,,,6.244
2000Q2,5.207,,,4.850198,4.812,,5.058,,,,4.793,,,,,6.062
2000Q3,5.111,,,5.049174,4.967,,5.136,,,,5.114,,,,,6.062
2000Q4,4.667,,,4.600483,4.603,,4.931,,,,4.612,,,,,5.361
2001Q1,4.358,,,4.21486,4.272,,4.308,,,,4.274,,,,,4.081
2001Q2,4.428,,,4.134972,4.248,,4.386,,,,4.284,,,,,3.597
2001Q3,3.62,,,3.363246,3.383,,6.119,,,,3.519,,,,,2.49
2001Q4,3.582,,,3.185,3.312,,3.362,,,,3.423,,,,,2.17
2002Q1,4.138,,,3.83,3.66,,3.451,,,,3.962,,,,,2.7
2002Q2,3.73,,,3.64,3.617,,3.421,,,,3.59,,,,,2.06
2002Q3,2.972,,,2.97,2.914,,3.237,,,,2.984,,8.059,,,1.53
2002Q4,2.706,,,2.54,2.658,,,,,,2.642,,6.138,,,1.32
2003Q1,2.382,,,2.27,1.986,,,,3.1,,2.296,,5.683,,,1.19
2003Q2,2.026,,,1.925,1.987,,,,1.41,,2.013,,5.941,,,1.09
2003Q3,2.071,,,2.0,2.043,,,,,,2.027,,5.45,,,1.15
2003Q4,2.136,,,2.15,2.136,,,,6.828464727,,2.163,,5.706,,,1.26
2004Q1,2.015,1.882,,1.87,1.872,,,,6.8260648,,1.974,,5.05,,,1.2
2004Q2,2.452,2.287,,2.27,2.226,,,,6.838853005,,2.354,,3.942,,,2.09
2004Q3,2.344,2.278,,2.275,2.18,,,,2.42,,2.248,,3.576,,,2.21
2004Q4,2.218,2.277,,2.227,2.273,,,,2.391,,2.18,,3.645,,,2.75
2005Q1,2.342,2.256,,2.233,2.196,,,,2.37,,2.132,,2.496,,,3.35
2005Q2,1.981,2.003,,1.988,1.96,,,,2.155,,1.967,,2.626,,,3.45
2005Q3,2.199,2.232,,2.243,2.199,,,,2.21,,2.198,,2.75,,,4.01
2005Q4,2.541,2.749,,2.782,2.734,,,,2.796,,2.586,,3.401,,,4.38
2006Q1,3.268,3.068,,3.074,3.126,,,,3.137,,2.804,,4.169,,,4.82
2006Q2,3.474,3.32,,3.276,3.357,,,,3.181,,3.376,,5.502,,,5.21
2006Q3,3.648,3.551,,3.561,3.572,,,,3.133,,3.584,,5.3,,,4.91
2006Q4,3.874,3.846,,3.817,3.863,,3.9,,3.212,,3.816,,3.315,,,5.0
2007Q1,4.036,4.02,,4.013,4.015,,3.955,,3.284,,3.907,,4.121,,,4.9
2007Q2,4.269,4.358,,4.336,4.41,,4.142,,4.141,,4.562,,4.341,4.829,,4.91
2007Q3,4.005,4.081,,4.064,4.074,,4.294,,4.19,,3.994,,4.479,4.147,,4.05
