Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,MT,NL,PT,SK,SI,ES,US
2000Q1,5.462,5.501408,,5.36,5.33258,5.223,6.202,5.456,5.52091,,,5.37,5.531,,,5.461,6.002
2000Q2,5.604,5.559787,,5.433,5.363214,5.223,6.08,5.522,5.567182,,,5.376,5.645,,,5.501,6.027
2000Q3,5.538,5.585611,,5.446,5.373642,5.23,6.031,5.469,5.602424,,,5.367,5.607,,,5.53,5.8078
2000Q4,5.166,5.211737,,5.083,4.989917,4.858,5.452,5.084,5.247877,,,4.98,5.231,,,5.149,5.1116
2001Q1,5.027,5.074837,,4.939,4.841947,4.687,5.286,4.911,5.107533,,,4.85,5.122,,,4.971,4.9146
2001Q2,5.368,5.425497,,5.332,5.227388,5.098,5.564,5.299,5.491594,,,5.256,5.482,,,5.41,5.3475
2001Q3,5.046,5.030947,,5.021,4.872134,4.801,5.224,4.973,5.128987,,,4.963,5.147,,,5.1,4.5902
2001Q4,5.169,5.192,,5.197,5.071,4.997,5.282,5.109,5.241,,,5.106,5.196,,,5.179,5.0292
2002Q1,5.434,5.469,,5.41,5.331,5.2386,5.574,5.496,5.5,,,5.385,5.468,,,5.428,5.406
2002Q2,5.142,5.186,,5.174,5.04,4.9435,5.253,5.176,5.2,,,5.087,5.21,,,5.122,4.8088
2002Q3,4.46,4.477,,4.474,4.388,4.272,4.619,4.527,4.498,,,4.384,4.538,,,4.442,3.6001
2002Q4,4.261,4.307,,4.277,4.251,4.1942,4.435,4.305,4.418,,,4.215,4.315,,,4.267,3.8181
2003Q1,4.046,4.169,,4.102,4.114,4.033,4.299,4.108,4.204,5.45,,4.11,4.087,,,4.059,3.8019
2003Q2,3.902,3.9,,3.86,3.844,3.801,3.972,3.849,3.966,5.45,,3.867,3.937,,,3.875,3.5161
2003Q3,4.059,4.071,,4.014,4.066,4.0038,4.18,4.01,4.153,5.011,,4.029,4.109,,,4.024,3.9395
2003Q4,4.325,4.349,,4.277,4.3,4.2924,4.425,4.261,4.432,5.7,,4.287,4.368,,,4.292,4.251934458
